run_label,repetition,mode_label,completed_run,timed_out,selected_sessions,completed_sessions,selected_requests,completed_requests,completion_rate_pct,generated_tokens,service_window_duration_s,seconds_since_last_completed_turn,time_to_last_completed_turn_s,requests_per_second_completed_workload,output_tokens_per_second_completed_workload,ttft_p50_s,ttft_p95_s,resumed_ttft_p50_s,resumed_ttft_p95_s,latency_p50_s,latency_p95_s,peak_warm_blocks,peak_warm_requests,validation_passed
full_text_8k_cap32/budget_3_5g/boundary_125,1,All-HOT,False,True,125,70,275,158,57.45454545454545,2328,600.0351684335619,570.8023813460022,29.2327870875597,,,1.631350677460432,10.374402176588774,0.41065595485270023,1.3542823232710361,4.33840118907392,11.654190680012107,0,0,False
full_text_8k_cap32/budget_3_5g/boundary_125,1,Mixed,True,False,125,125,275,275,100.0,4150,151.71296328306198,0.0,151.71296328306198,1.812633502431248,27.354287400326108,3.021993611007929,24.457298582419753,0.7475387584418058,25.99220371991396,6.8318098448216915,25.936762530356646,1020,25,True
full_text_8k_cap32/budget_3_5g/boundary_125_rep2,2,All-HOT,False,True,125,69,275,154,56.0,2293,600.0223549641669,578.0441919993609,21.97816296480596,,,1.5646424070000648,9.767789533361793,0.344733364880085,0.95213757827878,4.211195521056652,11.070234790444374,0,0,False
full_text_8k_cap32/budget_3_5g/boundary_125_rep2,2,Mixed,True,False,125,125,275,275,100.0,4150,151.62479945085943,0.0,151.62479945085943,1.8136874772198834,27.370192838045515,2.927632810547948,24.08099171333015,0.7481612637639046,25.568772548809648,6.84434212744236,24.825501585379243,1022,27,True
full_text_8k_cap32/budget_3_5g/boundary_125_rep3,3,All-HOT,False,True,125,67,275,147,53.45454545454545,2224,600.0392990056425,570.7973515037447,29.241947501897812,,,1.7105021253228188,9.394662024453282,0.3782128021121025,1.171281112357974,4.236020114272833,11.192189648747444,0,0,False
full_text_8k_cap32/budget_3_5g/boundary_125_rep3,3,Mixed,True,False,125,125,275,275,100.0,4150,151.6503343563527,0.0,151.6503343563527,1.8133820882570322,27.36558424096976,2.990916345268488,24.237908529117703,0.7919907383620739,25.54657832160592,6.736489292234182,25.63001816533506,1023,25,True
